"","Date","State","kMWh"
"250",2011-06-01,"WA",NA
"251",2011-06-01,"GA",NA
"252",2011-06-01,"IN",NA
"253",2011-06-01,"MN",NA
"254",2011-06-01,"TN",NA
"255",2011-06-01,"UT",NA
"256",2011-06-01,"CT",NA
"257",2011-06-01,"RI",NA
"258",2011-06-01,"SC",NA
"259",2011-06-01,"MO",NA
"260",2011-06-01,"WI",NA
"261",2011-06-01,"AR",NA
"262",2011-06-01,"KS",NA
"263",2011-06-01,"MI",NA
"264",2011-06-01,"OK",NA
"265",2011-06-01,"AL",NA
"266",2011-06-01,"IA",NA
"267",2011-06-01,"ID",NA
"268",2011-06-01,"KY",NA
"269",2011-06-01,"MS",NA
"270",2011-06-01,"NE",NA
"271",2011-06-01,"SD",NA
"272",2011-06-01,"VA",NA
"273",2011-06-01,"LA",NA
"274",2011-06-01,"ME",NA
"275",2011-06-01,"MT",NA
"276",2011-06-01,"WY",NA
"277",2011-07-01,"AZ",7.34450020833333
"278",2011-07-01,"CA",74.1998662083333
"279",2011-07-01,"CO",8.61611020833333
"280",2011-07-01,"DE",0.749768708333333
"281",2011-07-01,"FL",10.620857625
"282",2011-07-01,"HI",0.299799458333333
"283",2011-07-01,"IL",1.184189625
"284",2011-07-01,"MA",0.406473541666667
"285",2011-07-01,"MD",0.236499166666667
"286",2011-07-01,"NC",1.45524629166667
"287",2011-07-01,"NJ",6.40560908333333
"288",2011-07-01,"NM",11.3162464583333
"289",2011-07-01,"NV",24.2023431666667
"290",2011-07-01,"NY",0.679708333333333
"291",2011-07-01,"OH",1.30309979166667
"292",2011-07-01,"OR",0.00822329166666667
"293",2011-07-01,"PA",1.99318708333333
"294",2011-07-01,"TX",2.53697825
"295",2011-07-01,"VT",0.154003916666667
"296",2011-07-01,"WA",0.0699583333333333
"297",2011-07-01,"GA",NA
"298",2011-07-01,"IN",NA
"299",2011-07-01,"MN",NA
"300",2011-07-01,"TN",NA
"301",2011-07-01,"UT",NA
"302",2011-07-01,"CT",NA
"303",2011-07-01,"RI",NA
"304",2011-07-01,"SC",NA
"305",2011-07-01,"MO",NA
"306",2011-07-01,"WI",NA
"307",2011-07-01,"AR",NA
"308",2011-07-01,"KS",NA
"309",2011-07-01,"MI",NA
"310",2011-07-01,"OK",NA
"311",2011-07-01,"AL",NA
"312",2011-07-01,"IA",NA
"313",2011-07-01,"ID",NA
"314",2011-07-01,"KY",NA
"315",2011-07-01,"MS",NA
"316",2011-07-01,"NE",NA
"317",2011-07-01,"SD",NA
"318",2011-07-01,"VA",NA
"319",2011-07-01,"LA",NA
"320",2011-07-01,"ME",NA
"321",2011-07-01,"MT",NA
"322",2011-07-01,"WY",NA
"323",2011-08-01,"AZ",8.22932820833333
"324",2011-08-01,"CA",74.4049116666666
"325",2011-08-01,"CO",8.38094975
"326",2011-08-01,"DE",0.852644666666667
"327",2011-08-01,"FL",10.649854
"328",2011-08-01,"HI",0.297683875
"329",2011-08-01,"IL",1.20324658333333
"330",2011-08-01,"MA",0.426384333333333
"331",2011-08-01,"MD",0.25446225
"332",2011-08-01,"NC",1.49134208333333
"333",2011-08-01,"NJ",7.82361783333333
"334",2011-08-01,"NM",12.650652125
"335",2011-08-01,"NV",24.030018375
"336",2011-08-01,"NY",0.989416666666667
"337",2011-08-01,"OH",1.32737958333333
"338",2011-08-01,"OR",0.0160477083333333
"339",2011-08-01,"PA",2.11359491666667
"340",2011-08-01,"TX",2.79302033333333
"341",2011-08-01,"VT",0.160937208333333
"342",2011-08-01,"WA",0.0699166666666667
"343",2011-08-01,"GA",NA
"344",2011-08-01,"IN",NA
"345",2011-08-01,"MN",NA
"346",2011-08-01,"TN",NA
"347",2011-08-01,"UT",NA
"348",2011-08-01,"CT",NA
"349",2011-08-01,"RI",NA
"350",2011-08-01,"SC",NA
"351",2011-08-01,"MO",NA
"352",2011-08-01,"WI",NA
"353",2011-08-01,"AR",NA
"354",2011-08-01,"KS",NA
"355",2011-08-01,"MI",NA
"356",2011-08-01,"OK",NA
"357",2011-08-01,"AL",NA
"358",2011-08-01,"IA",NA
"359",2011-08-01,"ID",NA
"360",2011-08-01,"KY",NA
"361",2011-08-01,"MS",NA
"362",2011-08-01,"NE",NA
"363",2011-08-01,"SD",NA
"364",2011-08-01,"VA",NA
"365",2011-08-01,"LA",NA
"366",2011-08-01,"ME",NA
"367",2011-08-01,"MT",NA
"368",2011-08-01,"WY",NA
"369",2011-09-01,"AZ",9.34542641666666
"370",2011-09-01,"CA",76.0781418333333
"371",2011-09-01,"CO",8.07488458333333
"372",2011-09-01,"DE",0.984176416666667
"373",2011-09-01,"FL",10.5664182916667
"374",2011-09-01,"HI",0.293932958333333
"375",2011-09-01,"IL",1.23519916666667
"376",2011-09-01,"MA",0.464504583333333
"377",2011-09-01,"MD",0.282541708333333
"378",2011-09-01,"NC",1.59869208333333
"379",2011-09-01,"NJ",9.473231625
"380",2011-09-01,"NM",14.160283375
"381",2011-09-01,"NV",23.9126726666667
"382",2011-09-01,"NY",1.35675
"383",2011-09-01,"OH",1.37583495833333
"384",2011-09-01,"OR",0.04053775
"385",2011-09-01,"PA",2.23071625
"386",2011-09-01,"TX",3.04998083333333
"387",2011-09-01,"VT",0.172764333333333
"388",2011-09-01,"WA",0.0700416666666667
"389",2011-09-01,"GA",NA
"390",2011-09-01,"IN",NA
"391",2011-09-01,"MN",NA
"392",2011-09-01,"TN",NA
"393",2011-09-01,"UT",NA
"394",2011-09-01,"CT",NA
"395",2011-09-01,"RI",NA
"396",2011-09-01,"SC",NA
"397",2011-09-01,"MO",NA
"398",2011-09-01,"WI",NA
"399",2011-09-01,"AR",NA
"400",2011-09-01,"KS",NA
"401",2011-09-01,"MI",NA
"402",2011-09-01,"OK",NA
"403",2011-09-01,"AL",NA
"404",2011-09-01,"IA",NA
"405",2011-09-01,"ID",NA
"406",2011-09-01,"KY",NA
"407",2011-09-01,"MS",NA
"408",2011-09-01,"NE",NA
"409",2011-09-01,"SD",NA
"410",2011-09-01,"VA",NA
"411",2011-09-01,"LA",NA
"412",2011-09-01,"ME",NA
"413",2011-09-01,"MT",NA
"414",2011-09-01,"WY",NA
"415",2011-10-01,"AZ",10.9918709583333
"416",2011-10-01,"CA",79.591725625
"417",2011-10-01,"CO",7.952714125
"418",2011-10-01,"DE",1.17709008333333
"419",2011-10-01,"FL",11.0170734166667
"420",2011-10-01,"HI",0.291804208333333
"421",2011-10-01,"IL",1.30050104166667
"422",2011-10-01,"MA",0.546239041666667
"423",2011-10-01,"MD",0.334099375
"424",2011-10-01,"NC",1.84131241666667
"425",2011-10-01,"NJ",11.4395732083333
"426",2011-10-01,"NM",15.748528875
"427",2011-10-01,"NV",24.043912625
"428",2011-10-01,"NY",1.80341666666667
"429",2011-10-01,"OH",1.465630625
"430",2011-10-01,"OR",0.08308475
"431",2011-10-01,"PA",2.35909479166667
"432",2011-10-01,"TX",3.44293958333333
"433",2011-10-01,"VT",0.191439458333333
"434",2011-10-01,"WA",0.07
"435",2011-10-01,"GA",NA
"436",2011-10-01,"IN",NA
"437",2011-10-01,"MN",NA
"438",2011-10-01,"TN",NA
"439",2011-10-01,"UT",NA
"440",2011-10-01,"CT",NA
"441",2011-10-01,"RI",NA
"442",2011-10-01,"SC",NA
"443",2011-10-01,"MO",NA
"444",2011-10-01,"WI",NA
"445",2011-10-01,"AR",NA
"446",2011-10-01,"KS",NA
"447",2011-10-01,"MI",NA
"448",2011-10-01,"OK",NA
"449",2011-10-01,"AL",NA
"450",2011-10-01,"IA",NA
"451",2011-10-01,"ID",NA
"452",2011-10-01,"KY",NA
"453",2011-10-01,"MS",NA
"454",2011-10-01,"NE",NA
"455",2011-10-01,"SD",NA
"456",2011-10-01,"VA",NA
"457",2011-10-01,"LA",NA
"458",2011-10-01,"ME",NA
"459",2011-10-01,"MT",NA
"460",2011-10-01,"WY",NA
"461",2011-11-01,"AZ",15.80357275
"462",2011-11-01,"CA",84.6646010833333
"463",2011-11-01,"CO",8.314995125
"464",2011-11-01,"DE",1.37474433333333
"465",2011-11-01,"FL",11.72603975
"466",2011-11-01,"HI",0.294826
"467",2011-11-01,"IL",1.42166570833333
"468",2011-11-01,"MA",0.68878075
"469",2011-11-01,"MD",0.39071775
"470",2011-11-01,"NC",2.17565766666667
"471",2011-11-01,"NJ",13.3360405833333
"472",2011-11-01,"NM",17.494932
"473",2011-11-01,"NV",24.860338875
"474",2011-11-01,"NY",2.24516666666667
"475",2011-11-01,"OH",1.62018395833333
"476",2011-11-01,"OR",0.142816625
"477",2011-11-01,"PA",2.45133679166667
"478",2011-11-01,"TX",4.06867775
"479",2011-11-01,"VT",0.207094208333333
"480",2011-11-01,"WA",0.069875
"481",2011-11-01,"GA",NA
"482",2011-11-01,"IN",NA
"483",2011-11-01,"MN",NA
"484",2011-11-01,"TN",NA
"485",2011-11-01,"UT",NA
"486",2011-11-01,"CT",NA
"487",2011-11-01,"RI",NA
"488",2011-11-01,"SC",NA
"489",2011-11-01,"MO",NA
"490",2011-11-01,"WI",NA
"491",2011-11-01,"AR",NA
"492",2011-11-01,"KS",NA
"493",2011-11-01,"MI",NA
"494",2011-11-01,"OK",NA
"495",2011-11-01,"AL",NA
"496",2011-11-01,"IA",NA
"497",2011-11-01,"ID",NA
"498",2011-11-01,"KY",NA
"499",2011-11-01,"MS",NA
"500",2011-11-01,"NE",NA
"501",2011-11-01,"SD",NA
"502",2011-11-01,"VA",NA
"503",2011-11-01,"LA",NA
"504",2011-11-01,"ME",NA
"505",2011-11-01,"MT",NA
"506",2011-11-01,"WY",NA
"507",2011-12-01,"AZ",23.9037149583333
"508",2011-12-01,"CA",91.554587125
"509",2011-12-01,"CO",8.93742883333333
"510",2011-12-01,"DE",1.551160625
"511",2011-12-01,"FL",12.471012
"512",2011-12-01,"HI",0.30114775
"513",2011-12-01,"IL",1.58259970833333
"514",2011-12-01,"MA",0.900191375
"515",2011-12-01,"MD",0.443021333333333
"516",2011-12-01,"NC",2.56815908333333
"517",2011-12-01,"NJ",15.1542398333333
"518",2011-12-01,"NM",19.4331105833333
"519",2011-12-01,"NV",26.0607763333333
"520",2011-12-01,"NY",2.67441666666667
"521",2011-12-01,"OH",1.82090154166667
"522",2011-12-01,"OR",0.214756416666667
"523",2011-12-01,"PA",2.49629575
"524",2011-12-01,"TX",4.856807
"525",2011-12-01,"VT",0.215489625
"526",2011-12-01,"WA",0.0693333333333333
"527",2011-12-01,"GA",NA
"528",2011-12-01,"IN",NA
"529",2011-12-01,"MN",NA
"530",2011-12-01,"TN",NA
"531",2011-12-01,"UT",NA
"532",2011-12-01,"CT",NA
"533",2011-12-01,"RI",NA
"534",2011-12-01,"SC",NA
"535",2011-12-01,"MO",NA
"536",2011-12-01,"WI",NA
"537",2011-12-01,"AR",NA
"538",2011-12-01,"KS",NA
"539",2011-12-01,"MI",NA
"540",2011-12-01,"OK",NA
"541",2011-12-01,"AL",NA
"542",2011-12-01,"IA",NA
"543",2011-12-01,"ID",NA
"544",2011-12-01,"KY",NA
"545",2011-12-01,"MS",NA
"546",2011-12-01,"NE",NA
"547",2011-12-01,"SD",NA
"548",2011-12-01,"VA",NA
"549",2011-12-01,"LA",NA
"550",2011-12-01,"ME",NA
"551",2011-12-01,"MT",NA
"552",2011-12-01,"WY",NA
"553",2012-01-01,"AZ",32.700556625
"554",2012-01-01,"CA",98.5618471666667
"555",2012-01-01,"CO",9.62006166666666
"556",2012-01-01,"DE",1.68594833333333
"557",2012-01-01,"FL",13.4912603333333
"558",2012-01-01,"HI",0.307707458333333
"559",2012-01-01,"IL",1.744718625
"560",2012-01-01,"MA",1.171602375
"561",2012-01-01,"MD",0.629228875
"562",2012-01-01,"NC",3.127037625
"563",2012-01-01,"NJ",17.1510794166667
"564",2012-01-01,"NM",21.3648500416667
"565",2012-01-01,"NV",27.5255139583333
"566",2012-01-01,"NY",3.131
"567",2012-01-01,"OH",2.02220433333333
"568",2012-01-01,"OR",0.284443291666667
"569",2012-01-01,"PA",2.54467166666667
"570",2012-01-01,"TX",5.63684883333333
"571",2012-01-01,"VT",0.224053333333333
"572",2012-01-01,"WA",0.0690416666666667
"573",2012-01-01,"GA",NA
"574",2012-01-01,"IN",NA
"575",2012-01-01,"MN",NA
"576",2012-01-01,"TN",NA
"577",2012-01-01,"UT",NA
"578",2012-01-01,"CT",NA
"579",2012-01-01,"RI",NA
"580",2012-01-01,"SC",NA
"581",2012-01-01,"MO",NA
"582",2012-01-01,"WI",NA
"583",2012-01-01,"AR",NA
"584",2012-01-01,"KS",NA
"585",2012-01-01,"MI",NA
"586",2012-01-01,"OK",NA
"587",2012-01-01,"AL",NA
"588",2012-01-01,"IA",NA
"589",2012-01-01,"ID",NA
"590",2012-01-01,"KY",NA
"591",2012-01-01,"MS",NA
"592",2012-01-01,"NE",NA
"593",2012-01-01,"SD",NA
"594",2012-01-01,"VA",NA
"595",2012-01-01,"LA",NA
"596",2012-01-01,"ME",NA
"597",2012-01-01,"MT",NA
"598",2012-01-01,"WY",NA
"599",2012-02-01,"AZ",42.0110950833333
"600",2012-02-01,"CA",102.378848375
"601",2012-02-01,"CO",10.2709522916667
"602",2012-02-01,"DE",1.76829166666667
"603",2012-02-01,"FL",14.436463125
"604",2012-02-01,"HI",0.313221041666667
"605",2012-02-01,"IL",1.892721875
"606",2012-02-01,"MA",1.45249220833333
"607",2012-02-01,"MD",0.915784375
"608",2012-02-01,"NC",3.71734241666667
"609",2012-02-01,"NJ",19.1255889166667
"610",2012-02-01,"NM",22.9249137083333
"611",2012-02-01,"NV",29.14561275
"612",2012-02-01,"NY",3.57925
"613",2012-02-01,"OH",2.20516870833333
"614",2012-02-01,"OR",0.342240875
"615",2012-02-01,"PA",2.593946375
"616",2012-02-01,"TX",6.39891820833333
"617",2012-02-01,"VT",0.247879958333333
"618",2012-02-01,"WA",0.069125
"619",2012-02-01,"GA",NA
"620",2012-02-01,"IN",NA
"621",2012-02-01,"MN",NA
"622",2012-02-01,"TN",NA
"623",2012-02-01,"UT",NA
"624",2012-02-01,"CT",NA
"625",2012-02-01,"RI",NA
"626",2012-02-01,"SC",NA
"627",2012-02-01,"MO",NA
"628",2012-02-01,"WI",NA
"629",2012-02-01,"AR",NA
"630",2012-02-01,"KS",NA
"631",2012-02-01,"MI",NA
"632",2012-02-01,"OK",NA
"633",2012-02-01,"AL",NA
"634",2012-02-01,"IA",NA
"635",2012-02-01,"ID",NA
"636",2012-02-01,"KY",NA
"637",2012-02-01,"MS",NA
"638",2012-02-01,"NE",NA
"639",2012-02-01,"SD",NA
"640",2012-02-01,"VA",NA
"641",2012-02-01,"LA",NA
"642",2012-02-01,"ME",NA
"643",2012-02-01,"MT",NA
"644",2012-02-01,"WY",NA
"645",2012-03-01,"AZ",51.540452375
"646",2012-03-01,"CA",104.843324583333
"647",2012-03-01,"CO",10.9914765833333
"648",2012-03-01,"DE",1.79288425
"649",2012-03-01,"FL",14.9237055833333
"650",2012-03-01,"HI",0.320581875
"651",2012-03-01,"IL",2.04169308333333
"652",2012-03-01,"MA",1.72211566666667
"653",2012-03-01,"MD",1.140084125
"654",2012-03-01,"NC",4.26261775
"655",2012-03-01,"NJ",20.9962835833333
"656",2012-03-01,"NM",24.0128963333333
"657",2012-03-01,"NV",31.1641281666667
"658",2012-03-01,"NY",3.99854166666667
"659",2012-03-01,"OH",2.39409645833333
"660",2012-03-01,"OR",0.39156975
"661",2012-03-01,"PA",2.65163129166667
"662",2012-03-01,"TX",7.13173958333333
"663",2012-03-01,"VT",0.288262916666667
"664",2012-03-01,"WA",0.0690416666666667
"665",2012-03-01,"GA",NA
"666",2012-03-01,"IN",NA
"667",2012-03-01,"MN",NA
"668",2012-03-01,"TN",NA
"669",2012-03-01,"UT",NA
"670",2012-03-01,"CT",NA
"671",2012-03-01,"RI",NA
"672",2012-03-01,"SC",NA
"673",2012-03-01,"MO",NA
"674",2012-03-01,"WI",NA
"675",2012-03-01,"AR",NA
"676",2012-03-01,"KS",NA
"677",2012-03-01,"MI",NA
"678",2012-03-01,"OK",NA
"679",2012-03-01,"AL",NA
"680",2012-03-01,"IA",NA
"681",2012-03-01,"ID",NA
"682",2012-03-01,"KY",NA
"683",2012-03-01,"MS",NA
"684",2012-03-01,"NE",NA
"685",2012-03-01,"SD",NA
"686",2012-03-01,"VA",NA
"687",2012-03-01,"LA",NA
"688",2012-03-01,"ME",NA
"689",2012-03-01,"MT",NA
"690",2012-03-01,"WY",NA
"691",2012-04-01,"AZ",61.190672
"692",2012-04-01,"CA",108.167591625
"693",2012-04-01,"CO",11.9186030416667
"694",2012-04-01,"DE",1.81723329166667
"695",2012-04-01,"FL",15.394124
"696",2012-04-01,"HI",0.333653416666667
"697",2012-04-01,"IL",2.20860575
"698",2012-04-01,"MA",1.98930825
"699",2012-04-01,"MD",1.34884775
"700",2012-04-01,"NC",5.23081295833333
"701",2012-04-01,"NJ",22.4964788333333
"702",2012-04-01,"NM",25.0679334583333
"703",2012-04-01,"NV",33.8071707916667
"704",2012-04-01,"NY",4.33366666666667
"705",2012-04-01,"OH",2.60724104166667
"706",2012-04-01,"OR",0.446737916666667
"707",2012-04-01,"PA",2.708467
"708",2012-04-01,"TX",7.78397091666667
"709",2012-04-01,"VT",0.329825791666667
"710",2012-04-01,"WA",0.0691666666666667
"711",2012-04-01,"GA",NA
"712",2012-04-01,"IN",NA
"713",2012-04-01,"MN",NA
"714",2012-04-01,"TN",NA
"715",2012-04-01,"UT",NA
"716",2012-04-01,"CT",NA
"717",2012-04-01,"RI",NA
"718",2012-04-01,"SC",NA
"719",2012-04-01,"MO",NA
"720",2012-04-01,"WI",NA
"721",2012-04-01,"AR",NA
"722",2012-04-01,"KS",NA
"723",2012-04-01,"MI",NA
"724",2012-04-01,"OK",NA
"725",2012-04-01,"AL",NA
"726",2012-04-01,"IA",NA
"727",2012-04-01,"ID",NA
"728",2012-04-01,"KY",NA
"729",2012-04-01,"MS",NA
"730",2012-04-01,"NE",NA
"731",2012-04-01,"SD",NA
"732",2012-04-01,"VA",NA
"733",2012-04-01,"LA",NA
"734",2012-04-01,"ME",NA
"735",2012-04-01,"MT",NA
"736",2012-04-01,"WY",NA
"737",2012-05-01,"AZ",69.755339625
"738",2012-05-01,"CA",111.343468083333
"739",2012-05-01,"CO",12.84796275
"740",2012-05-01,"DE",1.83804016666667
"741",2012-05-01,"FL",15.8033728333333
"742",2012-05-01,"HI",0.348043333333333
"743",2012-05-01,"IL",2.36210379166667
"744",2012-05-01,"MA",2.21788716666667
"745",2012-05-01,"MD",1.56398829166667
"746",2012-05-01,"NC",6.81577975
"747",2012-05-01,"NJ",23.8491639166667
"748",2012-05-01,"NM",26.0008638333333
"749",2012-05-01,"NV",36.3626533333333
"750",2012-05-01,"NY",4.471625
"751",2012-05-01,"OH",2.80610033333333
"752",2012-05-01,"OR",0.49441125
"753",2012-05-01,"PA",2.72215466666667
"754",2012-05-01,"TX",8.39530383333333
"755",2012-05-01,"VT",0.366811375
"756",2012-05-01,"WA",0.0685
"757",2012-05-01,"GA",NA
"758",2012-05-01,"IN",NA
"759",2012-05-01,"MN",NA
"760",2012-05-01,"TN",NA
"761",2012-05-01,"UT",NA
"762",2012-05-01,"CT",NA
"763",2012-05-01,"RI",NA
"764",2012-05-01,"SC",NA
